en,bn
Sheli,শেলি
Paoao,পাওয়াও
Dhorshitar,ধর্ষিতার
Chhotogolpera,ছোটগল্পেরা
Chola,চলা
Chobitake,ছবিটাকে
bakko,বাক্যও
shulkojuddho,শুল্কযুদ্ধ
gorgo,গর্গ
picketingo,পিকেটিংও
karatai,কারাটাই
folk,ফোক
jetuku,যেটুকু
mankod,মানকড়
crickete,ক্রিকেটে
shabash,সাবাস
nolkuper,নলকূপের
jibon,জীবন
madhober,মাধবের
gudame,গুদামে
chomkito,চমকিতও
upayontor,উপায়ন্তর
chudben,ছুড়বেন
toder,তোদের
alaminer,আলামিনের
ucchoshito,উছ্বসিত
lalram,লালরাম
739,৭৩৯
kothagulir,কথাগুলির
poddhotita,পদ্ধতিটা
godkodio,গডকড়ীও
viur,ভিউর
bondofotore,বনদফতরে
pouchoi,পৌঁছয়
shofikulla,শফিকুল্লা
badite,বা়ড়িতে
fashionable,ফ্যাশনেব্‌ল
mohakasheri,মহাকাশেরই
bocchonra,বচ্চনরা
muli,মূলি
sharabochor,সারাবছর
marcus,মার্কাস
atlas,অ্যাটলাস
probochon,প্রবচন
shokhitter,সখীত্বের
bajeyapto,বাজেয়াপ্ত
inspectorke,ইন্সপেক্টরকে
pranocchol,প্রাণোচ্ছ্বল
ashromer,আশ্রমের
shahenshah,শাহেনসা
kushthoroger,কুষ্ঠরোগের
secret,সিক্রেটই
introduced,চিনিয়েছিলেন
combination,কম্বিনেশন
bidipta,বিদীপ্তা
sankraman,সংক্রমণও
eggplant,এগপ্লান্ট
kobita,ম্যাগাজিনের
dhondhe,ধন্দে
palano,পালানো
corporeter,কর্পোরেটের
dhoreni,ধরেনি
roudrokorojjol,রৌদ্রকরোজ্জ্বল
dekhlei,দেখলেই
meyadke,মেয়াদকে
bachay,বাঁচায়
Timothi,টিমোথি
Shuporichito,সুপরিচিত
Natoker,নাটকের
Khudera,খুদেরা
Jan i ,‌যানই
Nirapottao,নিরাপত্তাও
Rupor,রূপোর
Boho,বহ
Jyotishbanite,জ্যোতিষবাণীতে
Mamudke,মামুদকে
Sheishutre,সেইসূত্রে
Morchara,মোর্চারা
kendriya,কেন্দ্রিয়
Insta,ইনস্টা
CT scan,সিটিস্ক্যান
Shubondobosto,সুবন্দোবস্ত
Nijossho,নি্জস্ব
Dheer,ধীর
Shungshodkeo,সাংসদকেও
Ainmontrio,আইনমন্ত্রীও
Joel,জোয়েল
Fanbox,ফ্যানবক্স
Autobunao,অটোবানএও
Nogode,নগদে
Ator,আটর
Nattyomuhurto,নাট্যমুহূর্ত
Redmen,রে়ডমেন
Buddhodebkei,বুদ্ধদেবকেই
Himar,হিমার
Romanchokor,রোমাঞ্চকর
Inauguration a,ইনোগ্রেশনে
Kohali,কোহালি
badhone,বাঁধবেন
Bhalobasa,খাতাতেই
Godfatherk,গডফাদারকে
Partygulike,পার্টিগুলিকে
Marsari,মারসারি
Tabrij,তাব্রিজ
Ati,এটি
Sumaner,সুমনের
Samajvidya,সমাজবিদ্যা
Bhittite,ভিত্তিতে
Mapenni,মাপেননি
Apollo,অ্যাপোলো
Angshoke,অংশকেও
Swadeshider,স্বদেশীদের
Sourceder,সোর্সদের
Baper,বাপের
Usain,উসেইন
Banwarilal,বানওয়ারিলাল
Andoloner,আন্দোলনের
Birpurush,বীরপুরুষ
Muffler,মাফলার
Artir,আর্তির
Porikhitobhabhe,পরীক্ষিতভাবে
Limito,লিমিটও
Kiseri,কিসেরই
Jogaben,জোগাবেন
Santaruder,সাঁতারুদের
Styleta,স্টাইলটা
ami,ছবি
tomar bari koi,যশকেই
soshorirer,সশরীরের
presidencir,প্রসিডেন্সির
lyangdoner,ল্যাংডনের
sommoti-swoho,সম্মতি–সহ
puneri,পুণেরি
outstepe,আউটস্টেপে
development,ডেভলপমেন্ট
horishchaterjee,হরিশচ্যাটার্জি
Vortsona,ভর্তসনা
satire,বিদ্রূপ
passports,পাসপোর্টগুলির
to rot,পচতে
the word,কথাটা
Mr. Sudip's,সুদীপবাবুর
even in mourning,শোকপ্রকাশকেও
councilors ,কাউন্সিলরা
dramatic,নাটকীয়তায়
made,বানিয়েছিলাম
fact,ফ্যাক্ট
clamp,ক্ল্যাম্প
instantly,তৎক্ষণাৎ
of bangla,বাংলার
have been born,জন্মেছি
classmates,সহপঠীরাই
chosen,বেছেছিলেন
lizard's,টিকটিকির
sent,পাঠিয়েছিল
latrine,শৌচ
hunters,শিকারিরা
,জেসন
indulged,মজেছে
in that matter,সেবিষয়ে
a volume,একখণ্ড
successors',উত্তরসূরিদের
able,পারলেন
gentleman,সজ্জন
water-logged,জলমগ্ন
onion,পেঁয়াজকে
honours,অর্নাস
vigorous,তাগড়াই
to run,ছুটতে
demands',দাবিগুলির
users,ব্যবহারকারিদের
had shown,দেখিয়েছিলেন
rescue,নিস্তার
air-conditioned,শীততাপ
Kipling,কিপলিং
Rajabazar,রাজাবাজার
Movie,মুভই
in rhythm ,ছন্দে
Francisco,ফ্রানসিস্কো
not changed,পাল্টাইনি
sent,পাঠালো
1738,১৭৩৮
166,১৬৬
in the garden,বাগিচায়
psychiatric patient,মনোরোগীকে
Plans,প্রকল্পগুলিও
snakes,সাপেদেরও
taroker,তারকের
jenasaitiser,জেনাইটিসের
soudite,সৌদিতে
alocchoshuchiteo,আলোচ্যসূচিতেও
ghurnijhorer,ঘূর্ণিঝ়ডের
thugs,থাগস
constableke,কনস্টেবলকে
99,৯৯
stacy,স্ট্যাসি
shubhrangshu,শুভ্রাংশুও
,ফাঁরা
watkins,ওয়াটকিনস
budhpur,বুধপুর
filder,ফিল্ডার
compactore,কম্প্যাক্টরে
vivo,ভিভো
techtonic,টেকটনিক
jordar,জোরদার
700006,৭০০০০৬
alokchitrer,আলোকচিত্রের
adou,আদৌও
obbhesh,অভ্যেস
alaponbabu,আলাপনবাবু
pagolpara,পাগলপারা
noboborsher,নববর্ষের
bharotlokkhi,ভারতলক্ষ্মী
bhangore,ভাঙড়ে
kebineo,কেবিনেও
praggotar,প্রাজ্ঞতার
chalanok,চালানোক
gotokoyekdin,গতকয়েকদিন
poribeshbidder,পরিবেশবিদদের
nadiake,নাদিয়াকে
shamogrie,সামগ্রীই
bhashkorbabuo,ভাস্করবাবুও
kenata,কেনাটা
patthokrom,পাঠ্যক্রম
ongodata,অঙ্গদাতা
testeo,টেস্টেও
jatrapother,যাত্রাপথের
bhajen,ভাজেন
krrishiprodhan,কৃষিপ্রধান
shishuke,শিশু‌কে
prokashona,প্রকাশনা
morphed ,মর্ফড
bishthar,বিষ্ঠার
glovese,গ্লাভসে
landlord,ল্যান্ডলর্ড
ramose e,র‌্যামোসই
obangali,অবাঙালি
praniti,প্রাণীটি
ekjot,একজোট
khaddoponner,খাদ্যপণের
gontobbe,গন্তব্যে
dorner,ডর্নের
chalanoro,চালানোরও
dabidarder,দাবিদারদের
protibadti,প্রতিবাদটি
pujo-,পুজো—
ronjon,রঞ্জন
pistol,পিস্তল
tv,টিভি
rationcard ,রেশনকার্ড
upokoron,উপকরণ
bidyut,বিদ্যুত্
homti,হোমটি
deshtai,দেশটাই
niyei,নিয়েই
danhathe,ডানহাতে
Teni da ke,টেনিদাকে
Pratul,প্রতুল
rekhechilam,রেখেছিলাম
Sabha ti,সভাটি
Bishwa Club,বিশ্বক্লাব
Charitro guli,চরিত্রগুলিও
khelchen,খেলছেন
Kumir,কুমীর
Kholen,খোলেন
Kholen,খোলেন
Coinguli,কয়েনগুলি
Shohishpur,সহিসপুর
Posteroi,পোস্টারই
Atmoghatey,আত্মঘাতে
Bisheshwar,বিশেশ্বর
Jabar,যাবার
Mokkake,মক্কাকে
Gstraw,GSTর
Sayesha,সায়েশা
Charane,চরণে
Papiyake,পাপিয়াকে৷
Sasurhio,শাশুড়িও
thanake,থানাকে
aami,ট্যাক্সিস্ট্যান্ডে
ami,কৃতকর্মের
thik aache,তারিয়েই
mohniyake,মোহনিয়াকে
Punordokhole,পুনর্দখলে
2022,২০২২
Nodiner,নদিনের
Bisleshon,বিশ্লেষন
Sigurosson,সিগুরোসসন
Bajanoy,বাজানোয়
Bajanoy,বাজানোয়
Bogole,বগলে
Songogune,সঙ্গগুণে
Polio,পলিও
Durante,দূরান্তে
Krishnoganjer,কৃষ্ণগঞ্জের
Protijogitar,প্রতিযোগিতার
Artonade,আর্তনাদে
Didhabijorito,দ্বিধাবিজড়িত
paddabot,পদ্মাবৎ
jubovarotitei,যুবভারতীতেই
doklamer,ডোকলামের
makilroy,ম্যাকিলরয়
hedener,হেডেনের
poddei,পদ্মেই
jubokendre,যুবকেন্দ্রে
parlamenterians,পার্লামেন্টেরিয়ানস
102,১০২
drisshopot,দৃশ্যপটের
lola,লোলা
modider,মোদীদের
koyeker,কয়েকের
amanda,আমান্ডা
palongdarkeo,পালংদারকেও
Patleo,পাতলেও
Pardesh,পরদেশ
Srijanar,শ্রীজানার
Boubajar,বৌবাজার
Janashadharon,জনসাধারনের
Santosh,সন্তোষ
appreciate,প্রশংসা
sorto,শর্ত—
mukundopursoho,মুকুন্দপুরসহ
chalabo,চালাবো
entally,এন্টালি
imi,আইএমআই
yaarer,ইয়ারএর
utheche,উঠেছে
prottabortankeo,প্রত্যাবর্তনকেও
khondasho,খণ্ডাংশ
ashorjer,আশ্বর্যের
uddhastoder,উদ্বাস্তুদের
loktar,লোকটার
tarikta,তরিকাটা
proshongshito,প্রশংসিতও
londobhondo,লণ্ডভণ্ড
lompat,লম্পট
brazile,ব্রাজিলে
rhitke,ঋতকে
bhalomondo,ভালমন্দ
mundu,থেতলে
stuttgart,স্টুটগার্টে
branch k,ব্রাঞ্চকে
hotta cheshta,হত্যাচেষ্টায়
porodol,পরদল
pochattor,পচাত্তরের
aborton,আবর্তন
troller tir o,ট্রলারটিরও
jonomanob,জনমানব
kilo litre,কিলোলিটারে
ghanoghor,ঘনঘোর
vivek,হেনস্থার
alu,এপ্রিল
korechilo,করেছিল
bikolponiyo,বিকল্পনীয়
koilasji,কৈলাসজি
panchtolar,পাঁচতলার
chinmoyee,চিন্ময়ী
miss,মিস
boat,বোট
taherer,তাহেরের
Mammal,স্তনদায়ী
mohanti,মহান্তি
chotoporda,ছোটপরদা
phone-e,ফেনে
atkale,আটকালে
sulotadi,সুলতাদি
jhorkhali,ঝড়খালির
Manush ti,মানুষটি
Liye,लिए
Desh tyagi,দেশত্যাগী
Dupokhher,দুপক্ষের
Compactor,কম্প্যাক্টর
,অ্যাপোলোয়
Animal,পণ্ড
Afterlife as well,আত্মাদেরও
Distributed,বিলোলেন
Sadness,দুঃখও
Srikanta's,শ্রীকান্তদার
Twenty years,দুদশক
Broken,ভেঙ্গে
Sodorthok,সদর্থক
Ratander,রতনদের
Obobahikake,অববাহিকাকে
Godara,গোদারা
Chorchito,চর্চিত
Bhateo,ভ্যাটেও
Gilemete,গিলেমেটে
Brojomohon,ব্রজমোহন
Gixaar,গিক্সার
Bhobanipurer,ভবানীপুরের
I,“I
Clubder,ক্লাবদের
Bitkoyenke,বিটকয়েনকে
Pouchabe,পৌছাবে
Odhyaytike,অধ্যায়টিকে
fan,FAN
pad,প্যাড
Vuvarot,ভূভারত
Arsen,আর্সেন
bichcinnovabe,বিচ্ছিন্নভাবে
kocherai,কোচেরাই
ashrer,আসরের
pathra,পাথরা
shastr,শাস্ত্র
rajnititai,রাজনীতিটাই
praptike,প্রাপ্তিকে
torke,তর্কে
kolonir,কলোনির
councilorder,কাউন্সিলরদের
thakai,থাকায়
bomabajir,বোমাবাজির
rathor,রাঠোর
soptorshiro,সপ্তর্ষিরও
Location o,লোকেশনও
Protirodhe,প্রতিরোধে
Tinsho uno tirish,৩২৯
Sabalok,সাবলাক
Begusoraiye,বেগুসরাইয়ে
International,ইন্টারন্যাশন্যাল
Bhara,ভাড়া
kapiyechilo,কাঁপিয়েছিল
dorshker,দর্শকের—
dui,“দুই
moncho,মঞ্চস্থ
sorbonimno,সর্বনিন্ম
komiske,কমিশকে
Ghoshparar,ঘোষপাড়ার
Lagab,লাগাব
Ayesha,আয়েশা
Paragnayer,পাড়াগাঁয়ের
cholio,চোলিও
gaseo,গ্যাসেও
Jibon,তপু
Khata,কৃত্তিবাসের
বোবা,ঋষিদের
Srijit,শ্রীজিত
Arrogant,অ্যারোগ্যান্ট
Crores,ক্রোরস
Manindra,মনীন্দ্র
Triptidayok,তৃপ্তিদায়ক
Chickenguloy,চিকেনগুলোয়
Agrogotite,অগ্রগতিতে
Plus er,প্লাসএর
Kosti,কষ্টি
Sangeet shikkhikar,সঙ্গীতশিক্ষিকার
Dhapai,ধাপই
Obai,ওবাই
Protisthaneo,প্রতিষ্ঠানেও
Peyeche,পেয়েছে
anirban,কহতে
Ottalikar,অট্টালিকার
senaterder,সেনেটরদের
kashi?,🗣️
Tribunaler,ট্রাইব্যুনালের
shonkolonmulok,সংকলনমূলক
akhtar,আখতার
dekhe,দেখে
visar,ভিসার
ekmatro,একমাত্র—
IDF,আইডিএফ
fleminger,ফ্লেমিংয়ের
andolonroto,আন্দোলনরত
utshahe,উৎসাহে
akho,আখোঁ
sudu,সুদু
dinratri,দিনরাত্রি
bojheni,বোঝেনি
trophy praptir,ট্রফিপ্রাপ্তির
sachin kei,সচিনকেই
dekhai,দেখাই
nile,নিলে
reboti,রেবতি
sharomeyorai,সারমেয়রাই
protyer,প্রত্যের
makhano,মাখানো
mohamedane,মহমেডানে
ekshur,একসুর
ditiyo,দ্বিতীয়
mohilara,মহিলারা
shorgole,শোরগোলে
bhoutik,ভৌতিক
kalke,নির্ভয়াকাণ্ড
ajke,আইল্যান্ডসে
nahata,নাহাতা
whats,হোয়াটস
bidhyadhara,বিদ্যাধারা
Nirjon,রিসার্চএর
Shohaay,ফলায়
Chondroshekhor,চন্দ্রশেখর
Hoyranike,হয়রানিকে
Karshede,কারশেডে
Psperless,পেপারলেস
Shilpokormoi,শিল্পকর্মই
Divine,ঈশ্বরীয়
Introduction,ভুমিকা
Actually,আসলে—
At school,বিদ্যালয়ে
News,সাংবাদ
Moonlight,চাঁদনি
talented,প্রতিভাশালী
talented,লুকিয়ানোভা
khanbilkor,খানবিলকর
koto,কত
season,সিজন
untirishe,উনতিরিশে
ondhokarei,অন্ধকারেই
chele,ছেলে
gomvujer,গম্বুজের
toder,তোদের
pramanik,প্রামাণিক
seje,সেজে
kurnor,কুড়নোর
Uttorprodesher,উত্তরপ্রেদেশের
Rashtriyo,‌রাষ্ট্রীয়
Dhakdhol,ঢাকঢোল
Brindaboner,বৃন্দাবনের
Hashlen,হাসলেন
Kormiri,কর্মীরই
Tori,তরি
Ubei,উবেই
Pattor,পাত্তর
Onutopto,অনুতপ্ত
Dobi,দবি
Prostor,প্রস্তর
Kuto,কুটো
Kishorera,কিশোরেরা
Ashuk,আসুক—
Workpayer,ওয়ার্কপের
Double-decker,ডবলডেকার
Mushkile,মুশকিলে
Shure,শুঁড়ে
Perfumer,পারফিউমের
2006 e,২০০৬এ
Juddhe,যুদ্ধে
Bikobe,বিকোবে
Deshodroher,দেশদ্রোহের
Alexei,অ্যালেক্সি
Porjotonmontrir,পর্যটনমন্ত্রীর
Arifullah,আরিফুল্লা
Dhu,ধূ
Garottwo,গাঢ়ত্বে
Ajitkei,অজিতকেই
Cholto,চলত
Bishwashghatokotay,বিশ্বাসঘাতকতায়
Tarunnyo,তারুণ্য
Nirapottamontri,নিরাপত্তামন্ত্রী
Adhuli,আধুলি
Fanclub,ফ্যানক্লাব
Daknama,ডাকনামা
Egulir,এগুলির
Patkei,পাটকেই
Bishyojoyer,বিশ্বজয়ের
Dourbir,দৌড়বীর
Anbari,আনবাড়ি
Kamorer,কামড়ের
Boxti,বক্সটি
Ovimonnyuke,অভিমন্যুকে
Tino,তিনও
Byadhite,ব্যধিতে
Shanghai,সাংহাই
Ghurnir,ঘূর্ণির
Adiler,আদিলের
Potnir,পটনির
Kusumba,কুসুম্বা
Closed,ক্লোজড্‌
Jwaliyeo,জ্বালিয়েও
Visnagore,ভিসনাগরে
Ovvyontore,অভ্যন্তরেও
Xinping er,জিনপিংয়ের
Ambulance o,অ্যাম্বুলেন্সও
Fed,ফেড
ATM,এটিএম
Nichole ke,নিকোলকে
Hilsha,হিলসা
Upokritoi,উপকৃতই
Kharap e,খারাপই
Arki,আরকী
Holy,হোলি
Ghatite,ঘাঁটিতে
Poton,পতন৷
Pub,পুব
SCG te,এসসিজিতে
Filmmaker der,ফিল্মমেকারদের
Nolin,নলীন
Gonotontrohinotar,গণতন্ত্রহীনতার
Grishhyer,গ্রীষ্মের
Shopping mall,শপিংমল
Chandni,চাঁদনী
Kelash,কেলাস
Somudroprishtho,সমুদ্রপৃষ্ঠ
Noyko,নয়কো
Ponchottwo,পঞ্চত্ব
STEA,এসটিইএ
Profullobala,প্রফুল্লবালা
Shantike,শান্তিকে
Gorlen,গড়লেন
Malena,ম্যালেনা
Mani,মানিই
Makorsha,মাকড়সা
Morgulite,মোড়গুলিতে
Nishanay,নিশানায়
Building,বিল্ডিংয়
Aaron,অ্যারন
Vobyota,ভব্যতা
Academy,অ্যাকাদেমি
Kustigirder,কুস্তিগীরদের
Votebank er,ভোটব্যাঙ্কের
Dokan,দোকান
Hothe,হঠে
Yates,ইয়েট্‌স
Siddhanto,সিদ্দান্ত
Parui er,পাড়ুইয়ের
Batilre,বাতিলরে
Monnopurom,মন্নপুরম
Monostape,মনস্তাপে
Uthlo,উঠলও
Duorani,দুয়োরানী
Tino,তিনও
Purohit,পুরোহিত
Fairness,ফেয়ারনেস
Gomangor,গোমাঙ্গর
Bishadgathay,বিষাদগাথায়
Binikei,বিনিকেই
10,১০
Poribeshonateo,পরিবেশনাতেও
Kanaghushoi,কানাঘুষোই
Harryke,হ্যারিকে
Boothferot,বুথফেরত
Ovvyasheo,অভ্যাসেও
Choleni,চলেনি
Debo,দেব৷
Spiderman,স্পাইডারম্যান
Angel er,এঞ্জেলের
Shovab o,স্বভাবও
Pith o,পিঠও
Khorkutor,খড়কুটোর
Orient,ওরিয়েন্ট
Decision ke,ডিসিশনকে
Folbhoji,ফলভোজী
Dhorte,ধরতে
23th,২৩তম
Choter,চোটের
Soyongshebok,স্বয়ংসেবক
Shikkhokder,শিক্ষকদের৷
Motif er,মোটিফের
Shootingta,শ্যুটিংটা
Naha,নাহা
Omagbemike,ওমাগবেমিকে
Mujaffornogorer,মুজাফফরনগরের
